  0%|                                                                                                                                                                                     | 0/6468 [00:00<?, ?it/s]Casting fp32 inputs back to torch.bfloat16 for flash-attn compatibility.
                                                                                                                                                                                                                   
{'loss': 7.2962, 'grad_norm': 225.7823944091797, 'learning_rate': 5e-05, 'epoch': 0.0}
{'loss': 5.7851, 'grad_norm': 98.03430938720703, 'learning_rate': 4.999226963512678e-05, 'epoch': 0.0}
{'loss': 5.0641, 'grad_norm': 69.38106536865234, 'learning_rate': 4.998453927025356e-05, 'epoch': 0.0}
{'loss': 4.1886, 'grad_norm': 39.69875717163086, 'learning_rate': 4.997680890538033e-05, 'epoch': 0.0}
{'loss': 3.1908, 'grad_norm': 21.032438278198242, 'learning_rate': 4.9969078540507115e-05, 'epoch': 0.0}
{'loss': 3.0404, 'grad_norm': 28.999427795410156, 'learning_rate': 4.996134817563389e-05, 'epoch': 0.0}
{'loss': 3.3284, 'grad_norm': 22.582416534423828, 'learning_rate': 4.9953617810760674e-05, 'epoch': 0.0}
{'loss': 3.8755, 'grad_norm': 35.78752517700195, 'learning_rate': 4.9945887445887444e-05, 'epoch': 0.0}
{'loss': 3.0983, 'grad_norm': 32.764286041259766, 'learning_rate': 4.993815708101423e-05, 'epoch': 0.0}
{'loss': 2.7362, 'grad_norm': 27.852325439453125, 'learning_rate': 4.9930426716141004e-05, 'epoch': 0.0}
{'loss': 2.5737, 'grad_norm': 21.070751190185547, 'learning_rate': 4.992269635126779e-05, 'epoch': 0.0}
{'loss': 2.3324, 'grad_norm': 19.54588508605957, 'learning_rate': 4.991496598639456e-05, 'epoch': 0.0}
{'loss': 2.1195, 'grad_norm': 17.428203582763672, 'learning_rate': 4.990723562152134e-05, 'epoch': 0.0}
{'loss': 1.7385, 'grad_norm': 15.649702072143555, 'learning_rate': 4.9899505256648116e-05, 'epoch': 0.0}
{'loss': 1.8847, 'grad_norm': 24.10222053527832, 'learning_rate': 4.989177489177489e-05, 'epoch': 0.0}
{'loss': 2.3209, 'grad_norm': 21.499475479125977, 'learning_rate': 4.9884044526901675e-05, 'epoch': 0.0}
{'loss': 1.7534, 'grad_norm': 19.962432861328125, 'learning_rate': 4.9876314162028445e-05, 'epoch': 0.0}
