  0%|                                                                                                                                                        | 0/6468 [00:00<?, ?it/s]Casting fp32 inputs back to torch.bfloat16 for flash-attn compatibility.
                                                                                                                                                                                      
{'loss': 7.2962, 'grad_norm': 225.7823944091797, 'learning_rate': 5e-05, 'epoch': 0.0}
{'loss': 6.4119, 'grad_norm': 97.7344970703125, 'learning_rate': 4.999226963512678e-05, 'epoch': 0.0}
{'loss': 4.7078, 'grad_norm': 68.36700439453125, 'learning_rate': 4.998453927025356e-05, 'epoch': 0.0}
{'loss': 4.4326, 'grad_norm': 39.04391098022461, 'learning_rate': 4.997680890538033e-05, 'epoch': 0.0}
{'loss': 3.85, 'grad_norm': 21.19756507873535, 'learning_rate': 4.9969078540507115e-05, 'epoch': 0.0}
{'loss': 3.414, 'grad_norm': 33.34681701660156, 'learning_rate': 4.996134817563389e-05, 'epoch': 0.0}
{'loss': 3.9517, 'grad_norm': 24.09478187561035, 'learning_rate': 4.9953617810760674e-05, 'epoch': 0.0}
{'loss': 2.2752, 'grad_norm': 25.54285430908203, 'learning_rate': 4.9945887445887444e-05, 'epoch': 0.0}
{'loss': 2.3754, 'grad_norm': 18.173994064331055, 'learning_rate': 4.993815708101423e-05, 'epoch': 0.0}
{'loss': 1.7915, 'grad_norm': 25.312448501586914, 'learning_rate': 4.9930426716141004e-05, 'epoch': 0.0}
{'loss': 2.4233, 'grad_norm': 18.381912231445312, 'learning_rate': 4.992269635126779e-05, 'epoch': 0.0}
{'loss': 2.2241, 'grad_norm': 16.0924129486084, 'learning_rate': 4.991496598639456e-05, 'epoch': 0.0}
{'loss': 2.1349, 'grad_norm': 16.26230812072754, 'learning_rate': 4.990723562152134e-05, 'epoch': 0.0}
{'loss': 1.8244, 'grad_norm': 16.345521926879883, 'learning_rate': 4.9899505256648116e-05, 'epoch': 0.0}
{'loss': 1.8725, 'grad_norm': 17.771482467651367, 'learning_rate': 4.989177489177489e-05, 'epoch': 0.0}
{'loss': 2.2488, 'grad_norm': 18.428701400756836, 'learning_rate': 4.9884044526901675e-05, 'epoch': 0.0}
{'loss': 1.6918, 'grad_norm': 17.628767013549805, 'learning_rate': 4.9876314162028445e-05, 'epoch': 0.0}
{'loss': 1.7654, 'grad_norm': 17.96231460571289, 'learning_rate': 4.986858379715523e-05, 'epoch': 0.0}
{'loss': 3.1674, 'grad_norm': 21.413747787475586, 'learning_rate': 4.9860853432282005e-05, 'epoch': 0.0}
{'loss': 2.6734, 'grad_norm': 21.62470054626465, 'learning_rate': 4.985312306740879e-05, 'epoch': 0.0}
{'loss': 2.2335, 'grad_norm': 11.627479553222656, 'learning_rate': 4.984539270253556e-05, 'epoch': 0.0}
